,name,latitude,longitude,count
552,A-Pucikwar,12.16666667,92.83333333,1
553,Aka-Biada,11.66666667,92.5,1
554,Aka-Cari,13.5,93.0,1
555,Aka-Kede,12.75,92.75,1
556,Aleut,54.0,-166.0,6
557,Alutor,61.0,165.0,2
558,Bandjalang,-28.75,153.0,9
559,Bao'an,35.75,102.83333329999999,7
560,Bunan,32.5,77.0,9
561,Cheke Holo,-8.333333332999999,159.66666669999998,1
562,Chinantec (Comaltepec),17.58333333,-96.41666667,22
563,Chinantec (Sochiapan),17.75,-96.66666667,1
564,Chrau,10.75,107.5,44
565,Clallam,48.08333333,-123.75,2
566,Dolgan,71.25,98.0,1
567,Eipo,-4.333333333,140.08333330000002,6
568,Enets,67.5,86.5,7
569,Enga,-5.5,143.66666669999998,1
570,Ese Ejja,-11.0,-66.0,9
571,Fordata,-6.75,131.5,3
572,Futuna-Aniwa,-19.53333333,170.2166667,34
573,Galela,2.416666667,128.3333333,6
574,Gavião,-10.66666667,-62.0,9
575,Halia,-5.25,154.66666669999998,23
576,Iraqw,-4.0,35.5,39
577,Jur Mödö,6.0,30.0,25
578,Jurchen,47.0,130.0,1
579,Kerek,62.25,175.0,1
580,Khaling,27.5,86.66666667,7
581,Kola,-5.5,134.5,2
582,Krahô,-8.0,-48.0,4
583,Ksingmul,21.08333333,104.0,2
584,Kâte,-6.5,147.75,9
585,Laha,21.58333333,103.91666670000001,1
586,Limbu,27.16666667,87.75,13
587,Loniu,-2.066666667,147.33333330000002,30
588,Lummi,48.7,-122.66666670000001,1
589,Madurese,-7.0,113.5,7
590,Muong,20.5,105.08333329999999,1
591,Nabak,-6.416666667,147.0,11
592,Nankina,-5.783333333,146.45,5
593,Negidal,53.0,139.0,2
594,Nyamkad,32.0,78.5,8
595,Oksapmin,-5.166666667,142.16666669999998,8
596,Onge,10.75,92.41666667,7
597,Oroch,50.33333333,137.5,1
598,Orok,49.5,143.5,10
599,Orokaiva,-8.833333332999999,148.25,10
600,Patep,-6.916666667,146.58333330000002,17
601,Pattani,32.75,76.75,8
602,Saanich,48.58333333,-123.41666670000001,1
603,Saek,17.41666667,104.75,1
604,Songish,48.45,-123.33333329999999,1
605,Sooke,48.33333333,-123.75,1
606,Spitian,32.25,78.0,4
607,Stieng,11.83333333,106.75,31
608,Sulka,-5.083333333,151.91666669999998,26
609,Tabaru,1.5,127.25,1
610,Temiar,5.0,101.5,32
611,Thadou,24.41666667,93.91666667,2
612,Tidore,0.75,127.5,29
613,Tinani,32.33333333,77.16666667,3
614,Tod,32.41666667,77.25,4
615,Udihe,47.66666667,136.25,18
616,Ulcha,52.25,140.33333330000002,1
617,Vai,6.916666667,-11.25,17
618,Washo,39.25,-120.0,15
619,Wikchamni,36.41666667,-119.08333329999999,16
620,Yamdena,-7.5,131.5,1
621,Yup'ik (Central),59.5,-160.0,16
622,Zulu (Northern),-28.0,31.0,1
623,Aka,2.666666667,16.25,1
624,Bafia,5.0,11.16666667,9
625,Balanta,12.25,-15.33333333,14
626,Bana,10.41666667,13.58333333,1
627,Basari,12.66666667,-13.0,6
628,Biafada,11.41666667,-15.16666667,1
629,Chitimacha,29.66666667,-91.0,15
630,Coos (Hanis),43.5,-124.16666670000001,37
631,Ebira,8.166666667000001,7.0,16
632,Ega,5.5,-5.5,13
633,Fula (Senegal),15.0,-14.0,2
634,Gade,8.666666667000001,7.416666667,1
635,Harsusi,20.0,56.5,1
636,Hebrew (Modern),31.5,34.83333333,67
637,Ila,-15.58333333,26.5,18
638,Irish,53.0,-8.0,41
639,Japanese,37.0,140.0,56
640,Kemant,12.66666667,37.41666667,4
641,Kisi,8.833333332999999,-10.16666667,26
642,Kongo,-5.0,15.0,29
643,Korowai,-5.25,140.0,8
644,Kwakw'ala,51.0,-127.0,11
645,Kwerba,-2.25,138.5,6
646,Laal,10.0,17.66666667,17
647,Mandinka,13.0,-15.66666667,9
648,Midob,15.08333333,26.25,3
649,Mulao,25.0,108.0,5
650,Mun,19.0,110.0,1
651,Ngaanyatjarra,-26.0,126.5,8
652,Oku,6.25,10.5,1
653,Podoko,11.0,14.08333333,12
654,Pomo (Eastern),39.0,-122.66666670000001,10
655,Popoluca (Sierra),18.33333333,-95.16666667,17
656,Quechua (Imbabura),0.333333333,-78.0,44
657,Tabla,-2.45,140.41666669999998,4
658,Tikar,5.833333333,11.66666667,7
659,Tsimshian (Coast),52.5,-129.0,34
660,Umbu Ungu,-6.0,144.0,1
661,Xasonga,14.25,-10.5,8
662,Yemba,5.416666667,10.08333333,1
663,//Ani,-18.91666667,21.91666667,14
664,Kabardian,43.5,43.5,11
665,Kalami,35.5,72.5,4
666,Lushootseed,48.0,-122.0,4
667,Makah,48.33333333,-124.66666670000001,34
668,Pashto,33.0,67.0,17
669,Quileute,47.91666667,-124.25,19
670,Tehuelche,-48.0,-68.0,3
671,Wintu,41.0,-122.5,15
672,Jeli,9.5,-5.666666667,8
673,Kipea,-10.0,-37.0,17
674,Lai,22.66666667,93.66666667,19
675,Atakapa,30.0,-93.5,9
676,Bininj Gun-Wok,-12.5,133.75,11
